1.0	1.0	0.054	15285.0	13832.0
1.0	1.0	0.108	15285.0	13831.0
1.0	1.0	0.162	15283.0	13831.0
1.0	1.0	0.216	15285.0	13832.0
1.0	1.0	0.271	15283.0	13833.0
1.0	1.0	0.325	15282.0	13831.0
1.0	1.0	0.379	15284.0	13832.0
1.0	1.0	0.434	15283.0	13832.0
1.0	1.0	0.488	15284.0	13832.0
1.0	1.0	0.542	15285.0	13831.0
1.0	1.0	0.596	15283.0	13833.0
1.0	1.0	0.651	15284.0	13832.0
1.0	1.0	0.705	15286.0	13832.0
1.0	1.0	0.759	15283.0	13833.0
1.0	1.0	0.8130000000000001	15285.0	13832.0
1.0	1.0	0.868	15284.0	13831.0
1.0	1.0	0.922	15284.0	13832.0
1.0	1.0	0.975	15282.0	13833.0
1.0	1.0	1.03	15285.0	13830.0
1.0	1.0	1.084	15284.0	13831.0
1.0	1.0	1.1380000000000001	15283.0	13831.0
1.0	1.0	1.193	15284.0	13832.0
1.0	1.0	1.248	15284.0	13831.0
1.0	1.0	1.302	15282.0	13832.0
1.0	1.0	1.356	15283.0	13831.0
1.0	1.0	1.41	15285.0	13831.0
1.0	1.0	1.465	15283.0	13832.0
1.0	1.0	1.5190000000000001	15284.0	13832.0
1.0	1.0	1.573	15284.0	13831.0
1.0	1.0	1.6280000000000001	15283.0	13832.0
1.0	1.0	1.682	15284.0	13831.0
1.0	1.0	1.736	15285.0	13831.0
1.0	1.0	1.79	15283.0	13832.0
1.0	1.0	1.845	15284.0	13831.0
1.0	1.0	1.899	15284.0	13832.0
1.0	1.0	1.953	15284.0	13832.0
1.0	1.0	2.007	15284.0	13831.0
1.0	1.0	2.062	15283.0	13833.0
1.0	1.0	2.116	15282.0	13831.0
1.0	1.0	2.17	15283.0	13832.0
1.0	1.0	2.225	15283.0	13831.0
1.0	1.0	2.279	15284.0	13832.0
1.0	1.0	2.333	15285.0	13831.0
1.0	1.0	2.387	15284.0	13833.0
1.0	1.0	2.442	15284.0	13831.0
1.0	1.0	2.496	15282.0	13831.0
1.0	1.0	2.5500000000000003	15283.0	13833.0
1.0	1.0	2.604	15284.0	13832.0
1.0	1.0	2.6590000000000003	15284.0	13831.0
1.0	1.0	2.713	15284.0	13832.0
1.0	1.0	2.767	15285.0	13833.0
1.0	1.0	2.822	15284.0	13832.0
1.0	1.0	2.876	15284.0	13832.0
1.0	1.0	2.93	15282.0	13831.0
1.0	1.0	2.984	15286.0	13831.0
1.0	1.0	3.039	15283.0	13832.0
1.0	1.0	3.093	15283.0	13831.0
1.0	1.0	3.1470000000000002	15284.0	13830.0
1.0	1.0	3.201	15285.0	13831.0
1.0	1.0	3.2560000000000002	15283.0	13832.0
1.0	1.0	3.31	15285.0	13832.0
1.0	1.0	3.364	15286.0	13832.0
1.0	1.0	3.419	15282.0	13831.0
1.0	1.0	3.473	15285.0	13832.0
1.0	1.0	3.527	15282.0	13832.0
1.0	1.0	3.581	15284.0	13833.0
1.0	1.0	3.636	15285.0	13833.0
1.0	1.0	3.69	15284.0	13832.0
1.0	1.0	3.744	15284.0	13832.0
1.0	1.0	3.798	15284.0	13832.0
1.0	1.0	3.853	15285.0	13831.0
1.0	1.0	3.907	15281.0	13831.0
1.0	1.0	3.9610000000000003	15284.0	13832.0
1.0	1.0	4.016	15285.0	13832.0
1.0	1.0	4.07	15285.0	13833.0
1.0	1.0	4.124	15285.0	13831.0
1.0	1.0	4.178	15286.0	13833.0
1.0	1.0	4.233	15283.0	13833.0
1.0	1.0	4.287	15283.0	13832.0
1.0	1.0	4.341	15284.0	13831.0
1.0	1.0	4.3950000000000005	15282.0	13832.0
1.0	1.0	4.45	15283.0	13832.0
1.0	1.0	4.5040000000000004	15282.0	13833.0
1.0	1.0	4.558	15283.0	13832.0
1.0	1.0	4.613	15282.0	13832.0
1.0	1.0	4.667	15282.0	13832.0
1.0	1.0	4.721	15282.0	13831.0
1.0	1.0	4.775	15283.0	13831.0
1.0	1.0	4.83	15285.0	13833.0
1.0	1.0	4.884	15282.0	13833.0
1.0	1.0	4.938	15284.0	13834.0
1.0	1.0	4.992	15282.0	13831.0
1.0	1.0	5.047	15284.0	13832.0
1.0	2.0	5.101	11271.0	12900.0
1.0	2.0	5.155	11270.0	12900.0
1.0	2.0	5.21	11272.0	12900.0
1.0	2.0	5.264	11271.0	12899.0
1.0	2.0	5.3180000000000005	11271.0	12900.0
1.0	2.0	5.372	11271.0	12899.0
1.0	2.0	5.4270000000000005	11270.0	12900.0
1.0	2.0	5.481	11273.0	12899.0
1.0	2.0	5.535	11272.0	12900.0
